player,pos,team,adp,pass_yds,pass_td,pass_int,rush_yds,rush_td,rec,rec_yds,rec_td,fumbles,floor_mult,ceiling_mult
Kyle Juszczyk,FB,SF,NA,0,0,0,2,0,27,257,2,0,1,1
Connor Heyward,FB,LV,NA,0,0,0,0,0,14,102,2,0,1,1
Michael Burton,FB,CLE,NA,0,0,0,10,1,6,40,1,0,1,1
Andrew Beck,FB,NYJ,NA,0,0,0,8,0,5,35,2,0,1,1
Drake Maye,QB,NE,NA,3982.8,27.57,10.8,513,3.9,0,0,0,3.87,0.976,1.039
Brock Purdy,QB,SF,NA,4152.3,27.77,14.77,310.5,3.93,0,0,0,3.1,0.984,1.027
Dak Prescott,QB,DAL,NA,4274.8,31.3,11.77,177.4,1.9,0,0,0,1.6,0.974,1.04
Josh Allen,QB,BUF,NA,3822.1,27.83,12.07,592.3,11.17,0,0,0,2.7,0.984,1.02
Joe Burrow,QB,CIN,NA,4190.7,33.43,12.2,177.5,1.47,0,0,0,0.97,0.992,1.015
Jayden Daniels,QB,WAS,NA,3646,23.93,11,699.8,4.9,0,0,0,1.6,0.986,1.009
Jared Goff,QB,DET,NA,4234.5,31.5,10,47.5,0.5,0,0,0,2,0.988,1.012
Lamar Jackson,QB,BAL,NA,3634.2,29.1,10.2,638.4,3.4,0,0,0,2.73,0.984,1.032
Justin Herbert,QB,LAC,NA,3805,27,12,462,2,0,0,0,1,0.987,1.013
Caleb Williams,QB,CHI,NA,3873,27.5,10,391.5,2,0,0,0,1,0.964,1.036
Tyler Shough,QB,NO,NA,3943,22,12.5,306.5,4,0,0,0,2,0.98,1.02
Baker Mayfield,QB,TB,NA,3884.5,27,13.5,361,1.5,0,0,0,1.5,0.96,1.04
Trevor Lawrence,QB,JAC,NA,3900,27.67,13.67,329,5.3,0,0,0,2.13,0.978,1.037
Patrick Mahomes,QB,KCC,NA,3839.5,27.5,12.5,382,3.5,0,0,0,0.5,0.98,1.02
Matthew Stafford,QB,LAR,NA,4164.5,34.5,8.5,38.5,0.5,0,0,0,1,0.97,1.03
Sam Darnold,QB,SEA,NA,4066,28,13,135.5,0.5,0,0,0,3,0.969,1.031
C.J. Stroud,QB,HOU,NA,3934,24.5,12,249,1,0,0,0,1.5,0.96,1.04
Jaxson Dart,QB,NYG,NA,3591.8,23.1,11.67,544.4,6.5,0,0,0,1.63,0.986,1.015
Kyler Murray,QB,MIN,NA,3631.5,25,15.5,496.5,4,0,0,0,2,0.974,1.026
Jordan Love,QB,GB,NA,3862,27.5,10.5,217,1,0,0,0,1,0.994,1.006
Jalen Hurts,QB,PHI,NA,3570.2,24.4,7.47,462.7,8.47,0,0,0,2.67,0.987,1.018
Daniel Jones,QB,IND,NA,3794,25,11.5,237,4.5,0,0,0,1.5,0.993,1.007
Bo Nix,QB,DEN,NA,3691.5,26.5,10.5,331,3.5,0,0,0,0.5,0.962,1.038
Malik Willis,QB,MIA,NA,3336.5,19.5,13.5,635.5,4,0,0,0,3,0.929,1.071
Bryce Young,QB,CAR,NA,3508,23,13,278,3,0,0,0,1,0.963,1.037
Jacoby Brissett,QB,ARI,NA,3559.5,19.5,10.5,226,1.5,0,0,0,3,0.903,1.097
Cam Ward,QB,TEN,NA,3547.5,20,10,174.5,2.5,0,0,0,3,0.991,1.009
Geno Smith,QB,NYJ,NA,3384.5,22.5,15,237.5,1,0,0,0,0.5,0.943,1.057
Aaron Rodgers,QB,PIT,NA,3401,21.5,10,84,1,0,0,0,1,0.952,1.048
Fernando Mendoza,QB,LV,NA,2833.5,16,13.5,241,1.5,0,0,0,1,0.948,1.052
Tua Tagovailoa,QB,ATL,NA,2254,13,7.5,41.5,0,0,0,0,0.5,0.885,1.115
