player,pos,team,data_src,pass_yds,pass_td,pass_int,rush_yds,rush_td,rec,rec_yds,rec_td,fumbles,src_pts
Josh Allen,QB,BUF,ESPN,3949,26,12,581,12,0,0,0,0,368.06000000000006
Lamar Jackson,QB,BAL,ESPN,3886,26,10,671,4,0,0,0,0,330.54
Jayden Daniels,QB,WAS,ESPN,3846,22,10,669,5,0,0,0,0,318.74
Drake Maye,QB,NE,ESPN,4100,27,11,533,4,0,0,0,0,327.3
Joe Burrow,QB,CIN,ESPN,4131,33,11,189,2,0,0,0,0,306.14
Jalen Hurts,QB,PHI,ESPN,3777,23,9,437,9,0,0,0,0,322.78000000000003
Dak Prescott,QB,DAL,ESPN,4108,30,12,186,2,0,0,0,0,290.92
Jaxson Dart,QB,NYG,ESPN,3679,21,10,553,6,0,0,0,0,302.46
Justin Herbert,QB,LAC,ESPN,3849,26,11,406,2,0,0,0,0,288.56000000000006
Caleb Williams,QB,CHI,ESPN,3837,25,10,381,2,0,0,0,0,283.58
Trevor Lawrence,QB,JAC,ESPN,3945,25,13,335,5,0,0,0,0,295.3
Brock Purdy,QB,SF,ESPN,4178,27,14,277,3,0,0,0,0,292.82
Patrick Mahomes,QB,KCC,ESPN,4001,26,12,327,3,0,0,0,0,290.73999999999995
Bo Nix,QB,DEN,ESPN,3875,26,11,356,4,0,0,0,0,296.6
Matthew Stafford,QB,LAR,ESPN,4279,35,10,39,1,0,0,0,0,301.05999999999995
Kyler Murray,QB,MIN,ESPN,3778,22,11,502,4,0,0,0,0,291.32
Tyler Shough,QB,NO,ESPN,3884,20,11,285,4,0,0,0,0,265.86
Jared Goff,QB,DET,ESPN,4219,29,10,50,1,0,0,0,0,275.76
Baker Mayfield,QB,TB,ESPN,3824,25,12,323,1,0,0,0,0,267.26
Daniel Jones,QB,IND,ESPN,3745,20,11,307,6,0,0,0,0,274.5
Jordan Love,QB,GB,ESPN,4038,26,11,212,1,0,0,0,0,270.71999999999997
Malik Willis,QB,MIA,ESPN,3563,13,10,547,3,0,0,0,0,247.22000000000003
C.J. Stroud,QB,HOU,ESPN,3948,21,12,249,1,0,0,0,0,248.82000000000002
Sam Darnold,QB,SEA,ESPN,4012,24,12,126,1,0,0,0,0,251.08
Bryce Young,QB,CAR,ESPN,3637,20,12,273,2,0,0,0,0,240.78
Cam Ward,QB,TEN,ESPN,3757,17,10,201,2,0,0,0,0,230.38
Jacoby Brissett,QB,ARI,ESPN,3352,15,9,210,1,0,0,0,0,203.08
Geno Smith,QB,NYJ,ESPN,3824,21,14,220,1,0,0,0,0,236.96
Fernando Mendoza,QB,LV,ESPN,3058,14,11,226,2,0,0,0,0,190.92
Aaron Rodgers,QB,PIT,ESPN,3770,20,11,100,1,0,0,0,0,224.8
Deshaun Watson,QB,CLE,ESPN,1282,5,4,130,1,0,0,0,0,82.28
Tua Tagovailoa,QB,ATL,ESPN,2173,10,8,44,0,0,0,0,0,115.32000000000001
Shedeur Sanders,QB,CLE,ESPN,2435,10,8,182,1,0,0,0,0,145.6
Kirk Cousins,QB,LV,ESPN,832,4,3,11,0,0,0,0,0,44.38
Michael Penix Jr.,QB,ATL,ESPN,1883,9,5,77,1,0,0,0,0,115.02000000000001
J.J. McCarthy,QB,MIN,ESPN,165,1,1,6,0,0,0,0,0,9.200000000000001
Carson Beck,QB,ARI,ESPN,451,3,2,29,0,0,0,0,0,28.939999999999998
Justin Fields,QB,KCC,ESPN,141,1,0,15,0,0,0,0,0,11.14
Joe Flacco,QB,CIN,ESPN,165,1,1,1,0,0,0,0,0,8.700000000000001
Mac Jones,QB,SF,ESPN,146,1,1,2,0,0,0,0,0,8.04
Ty Simpson,QB,LAR,ESPN,146,1,1,5,0,0,0,0,0,8.34
Jameis Winston,QB,NYG,ESPN,163,1,1,3,0,0,0,0,0,8.82
Josh Allen,QB,BUF,CBS,3704,30,13,610,10,0,0,0,4,355.15999999999997
Lamar Jackson,QB,BAL,CBS,3365,33,11,604,3,0,0,0,4,315
Dak Prescott,QB,DAL,CBS,4428,33,12,173,2,0,0,0,2,310.42
Trevor Lawrence,QB,JAC,CBS,3843,31,15,330,6,0,0,0,3,310.72
Jayden Daniels,QB,WAS,CBS,3415,26,12,745,5,0,0,0,2,317.1
Joe Burrow,QB,CIN,CBS,4266,34,14,165,1,0,0,0,1,299.14
Drake Maye,QB,NE,CBS,3849,28,11,513,4,0,0,0,6,307.26000000000005
Caleb Williams,QB,CHI,CBS,3909,30,10,402,2,0,0,0,2,304.56
Jalen Hurts,QB,PHI,CBS,3367,26,6,490,8,0,0,0,4,315.68
Jaxson Dart,QB,NYG,CBS,3510,26,14,531,7,0,0,0,2,307.5
Brock Purdy,QB,SF,CBS,4125,29,16,350,5,0,0,0,5,304
Patrick Mahomes,QB,KC,CBS,3678,29,13,437,4,0,0,0,1,302.82
Matthew Stafford,QB,LAR,CBS,4050,34,7,38,0,0,0,0,2,283.8
Jared Goff,QB,DET,CBS,4250,34,10,45,0,0,0,0,4,282.5
Justin Herbert,QB,LAC,CBS,3761,28,13,518,2,0,0,0,2,296.24
Baker Mayfield,QB,TB,CBS,3945,29,15,399,2,0,0,0,3,289.70000000000005
Daniel Jones,QB,IND,CBS,3843,30,12,167,3,0,0,0,3,278.42
Malik Willis,QB,MIA,CBS,3110,26,17,724,5,0,0,0,6,284.8
Kyler Murray,QB,MIN,CBS,3485,28,20,491,4,0,0,0,4,276.5
Bo Nix,QB,DEN,CBS,3508,27,10,306,3,0,0,0,1,274.92
Sam Darnold,QB,SEA,CBS,4120,32,14,145,0,0,0,0,6,267.3
C.J. Stroud,QB,HOU,CBS,3920,28,12,249,1,0,0,0,3,269.7
Jordan Love,QB,GB,CBS,3686,29,10,222,1,0,0,0,2,267.64
Tyler Shough,QB,NO,CBS,4002,24,14,328,4,0,0,0,4,276.88000000000005
Bryce Young,QB,CAR,CBS,3379,26,14,283,4,0,0,0,2,259.46000000000004
Jacoby Brissett,QB,ARI,CBS,3767,24,12,242,2,0,0,0,6,246.88
Cam Ward,QB,TEN,CBS,3338,23,10,148,3,0,0,0,6,226.32000000000002
Geno Smith,QB,NYJ,CBS,2945,24,16,255,1,0,0,0,1,211.3
Aaron Rodgers,QB,PIT,CBS,3032,23,9,68,1,0,0,0,2,204.08
Deshaun Watson,QB,CLE,CBS,2655,17,11,256,2,0,0,0,5,179.79999999999998
Fernando Mendoza,QB,LV,CBS,2609,18,16,256,1,0,0,0,2,171.96
Tua Tagovailoa,QB,ATL,CBS,2335,16,7,39,0,0,0,0,1,145.3
Michael Penix Jr.,QB,ATL,CBS,1257,8,3,38,1,0,0,0,1,84.08
Kirk Cousins,QB,LV,CBS,669,5,4,9,0,0,0,0,1,37.660000000000004
Shedeur Sanders,QB,CLE,CBS,664,4,3,65,0,0,0,0,1,41.06
Ty Simpson,QB,LAR,CBS,450,4,1,32,0,0,0,0,0,35.2
Marcus Mariota,QB,WAS,CBS,342,3,1,6,0,0,0,0,0,24.28
